ID,Public Library Authorities,Country,ARCON CODE,Name of Library or Collection,"Address, including postcode",Lat,Lon,Main website,e-mail contact,Local Studies/Archive/Both 1,Notes on coverage combined
116,St Helens,England,,St Helens Archive Service,"The Gamble Building, Victoria Square, St Helens, Merseyside, WA10 1DY",53.453497,-2.734377,St Helens Archive Service - St Helens Council,archives@sthelens.gov.uk,Archive,
117,Salford,England,,"Local Studies Library, Salford Museum & Art Gallery","Peel Park, The Crescent, Salford, M5 4WU",53.4848918,-2.2720327,Local History Library - Salford Museum & Art Gallery,local.history@scll.co.uk,Art Gallery/Museum,
118,Sandwell,England,,Sandwell Community History and Archives Service,"Smethwick Library, High Street, Smethwick, B66 1AA",52.496451,-1.972629023,Visiting Sandwell Community History and Archives Service | Visit the archives service | Sandwell Council,archives_service@sandwell.gov.uk,Both,
119,Sefton,England,,Sefton Local archives and history,"Crosby Library,Crosby Road North,Waterloo,L22 0LQ",53.4776026,-3.022474184,Local archives and history - Information Services (sefton.gov.uk),,Both,
120,Sheffield,England,1783,"Sheffield City Libraries, Local Studies Section","Central Library, Surrey Street, Sheffield, S1 1XZ",53.3801284,-1.467243733,https://www.sheffield.gov.uk/home/libraries-archives,https://www.sheffield.gov.uk/content/forms/af/your-city-council/enquiry-form.html,Both,
121,Shropshire,England,, Shropshire Archives," Shropshire Archives, Castle Gates, Shrewsbury, Shropshire, SY1 2AQ",52.71078885,-2.751575174,https://www.shropshirearchives.org.uk/,libraries@shropshire.gov.uk,Both,
122,Slough,England,,"Slough Libraries, Local Studies","Library @ The Curve, William St, Slough, SL1 1XY",51.509894,-0.59461688,http://www.slough.gov.uk/libraries/local-studies.aspx,library@slough.gov.uk,Local Studies,
123,Solihull,England,437,Solihull Heritage & Local Studies,"The Core Library, Homer Road, Solihull, B91 3RG",52.4118118,-1.779979279,https://www.solihull.gov.uk/localhistory,heritage@solihull.gov.uk,Local Studies,
124,Somerset,England,,Somerset Archives and Local Studies,"Somerset Heritage Centre, Brunel Way, Norton Fitzwarren, Taunton, TA2 6SF",51.02582055,-3.137831245,https://swheritage.org.uk/somerset-archives/,somersetarchives@swheritage.org.uk,Both,
125,South Gloucestershire,England,,South Gloucestershire Libraries,,,,https://www.southglos.gov.uk/leisure-and-culture/libraries/library-services/local-history-collections/,,Local Studies,
126,South Tyneside,England,,South Tyneside Libraries,"The Word,45 Market Place,South Shields,Tyne & Wear,NE33 1DX",54.9974455,"-1.4382195,",https://www.southtyneside.gov.uk/article/34346/Local-history-and-heritage,library.support@southtyneside.gov.uk,Local Studies,
127,Southampton,England,,Local Studies and Maritime Library,"Central Library, Civic Centre, Southampton, SO14 7LW",50.90804385,-1.40648309,https://www.southampton.gov.uk/libraries/council-libraries/maritime-library.aspx,local.studies@southampton.gov.uk,Local Studies,
128,Southend on Sea,England,,Southend Library,"Southend Forum, Elmer Square,
Southend-on-Sea,
Essex,
SS1 1NS",51.538911,0.711425,https://www.southend.gov.uk/downloads/download/8/local_studies,council@southend.gov.uk,Local Studies,
129,Southwark,England,,Southwark Local History Library & Archive,"211 Borough High Street,London,SE1 1JA ",51.5017274,-0.0917292,https://www.southwark.gov.uk/libraries/local-history-library-and-archive/visiting-the-local-history-library-and-archive,https://www.southwark.gov.uk/libraries/local-history-library-and-archive/visiting-the-local-history-library-and-archive?emailUsContact=1560,Both,
130,Staffordshire,England,494,Stafford Library,"Stafford Library, Staffordshire Place,
Tipping Street, Stafford, ST16 2DH",52.80583785,-2.115054083,https://www.staffordshire.gov.uk/Libraries/Library-services/localfamilyhistory/Local-and-family-history-online.aspx,stafford.library@staffordshire.gov.uk,Local Studies,
131,Stockport,England,,Stockport Heritage Library,"Stockport Local Heritage Library,Wellington Road South,Stockport,SK1 3RS",53.4081405,-2.160629872,https://www.stockport.gov.uk/heritage-library-archives,localheritagelibrary@stockport.gov.uk,Both,
132,Stockton on Tees,England,,Stockton Libraries and Community Information Service,"Church Rd, Stockton-on-Tees, TS18 1TU",54.5666199,-1.311104117,https://www.stockton.gov.uk/arts-culture-and-leisure/libraries/reference-and-family-history-research/,reference.library@stockton.gov.uk,Local Studies,
133,Stoke on Trent,England,,Stoke on Trent City Archives,"Stoke-on-Trent City Archives,City Central Library,Bethesda Street,Hanley,Stoke on Trent,ST1 3RS",53.0223925,-2.17714039,https://www.staffordshire.gov.uk/Heritage-and-archives/about/Home.aspx,stoke.archives@stoke.gov.uk,Both,
134,Suffolk,England,,Suffolk Archives,"Suffolk Archives, 131 Fore St, Ipswich, IP4 1LN",52.0534549,1.16370135,https://www.suffolkarchives.co.uk/,ipswich.archives@suffolk.gov.uk,Both,
135,Sunderland,England,2958,Sunderland City Library and Arts Centre: Local Studies Library,"64 Fawcett Street, Sunderland, England, SR1 1RE",54.907459,-1.382042,https://www.sunderland.gov.uk/article/12831/Local-studies-and-family-history,enquiry.desk@sunderland.gov.uk,Local Studies,
136,Surrey,England,176,Surrey History Centre,"130 Goldsworth Road, Woking, England, GU21 6ND",51.317177,-0.570115,https://www.surreycc.gov.uk/culture-and-leisure/history-centre,shs@surreycc.gov.uk,Both,
137,Sutton,England,362,Sutton: Archives & Local Studies,"Level 2A, Central Library, St Nicholas Way, Sutton, London, SM1 1EA",51.36149,-0.194815,https://www.sutton.gov.uk/info/200168/libraries_museums_archives_and_arts,sutton.library@sutton.gov.uk,Both,
138,Swindon,England,525,Swindon Central Library,"Local Studies and Family History, Swindon Central Library, Regent Circus, Swindon, England, SN1 1QG",51.558808,-1.78116,https://www.swindon.gov.uk/info/20026/libraries/302/local_studies_local_history_and_genealogy,localstudies@swindon.gov.uk,Local Studies,
139,Tameside,England,131,Tameside Local Studies and Archives,"Central Library, Old Street, Ashton-under Lyne, England, OL6 7SG",53.487718,-2.098077,https://www.tameside.gov.uk/localstudies,https://public.tameside.gov.uk/contact/contact.asp?hide=true&dept=63&subject=,Local Studies,
140,Telford and Wrekin,England,,Community History Centre,"Wellington Library, Wellington Civic and Leisure Centre,Larkin Way,Wellington,Telford,TF1 1LX",52.6992304,-2.518689331,https://www.telford.gov.uk/info/20412/children_and_young_people/3455/local_history,libraryenquiries@telford.gov.uk,Local Studies,
141,Thurrock,England,3163,Thurrock Local Studies,"Grays Library, Orsett Road, Grays, England, RM17 5DX",51.479123,0.324478,https://www.thurrock.gov.uk/history-research-at-your-library/local-history,grays.library@thurrock.gov.uk,Local Studies,
142,Torbay,England,,Torbay Local Studies,"Torquay Library, Lymington Road, Torquay, TQ1 3DT",50.469245,-3.531922,https://www.torbay.gov.uk/libraries/local-studies/,torquay.library@​librariesunlimited.org.uk,Local Studies,
143,Tower Hamlets,England,,Tower Hamlets Local History Library,"277 Bancroft Road, London, E1 4DQ",51.523823,-0.042623,http://www.ideastore.co.uk/local-history,localhistory@towerhamlets.gov.uk,Both,
144,Trafford,England,742,Trafford Local Studies Centre,"Sale Library, Sale Waterside, Sale, England, M33 7ZF",53.425447,-2.320065,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/archives-and-local-history.aspx,trafflocals@trafford.gov.uk,Both,
145,Wakefield,England,740,Wakefield Local studies library,"Wakefield Library, Wakefield One, Burton Street, Wakefield, WF1 2DD",53.68424363 -1.50373157,,www.wakefield.gov.uk/libraries-and-local-history/local-and-family-history,wakefieldlibrarymuseum@wakefield.gov.uk,Local Studies,
146,Walsall,England,,Walsall Local History Centre,"Walsall Local History Centre,Lichfield Street Hub,Lichfield Street,Walsall,WS1 1TR",52.586358,-1.978534,https://go.walsall.gov.uk/localhistorycentre,localhistorycentre@walsall.gov.uk,Both,
147,Waltham Forest,England,,Waltham Forest Archives and local studies library,"Vestry House Museum,Vestry Road ,Walthamstow,E17 9NH",51.58407205,-0.012838085,https://www.walthamforest.gov.uk/content/waltham-forest-archives-and-local-studies-library,vhm.enquiries@walthamforest.gov.uk,Both,
148,Wandsworth,England,,Wandsworth Heritage Service,"265 Lavender Hill,Battersea,London,SW11 1JB",51.4638827,-0.164153708,https://www.better.org.uk/library/london/wandsworth/wandsworth-heritage-service,heritage@gll.org,Both,
149,Warrington,England,,Warrington Local and family history,"Warrington Library, Museum Street, Warrington, WA1 1JB",53.38704635,-2.596305035,; ,searchroom@culturewarrington.org,Both,
150,Warwickshire,England,,The Warwickshire Collection,"Nuneaton Library, Church Street,Nuneaton,CV11 4DR",52.52212932,-1.464056556,https://www.warwickshire.gov.uk/localstudies,"libraryenquiryteam@warwickshire.gov.uk.
",Local Studies,
151,West Berkshire,England,,West Berkshire Libraries,"Newbury Library, The Wharf, Newbury, West Berkshire RG14 5AU",51.40155375,-1.32063405,www.westberks.gov.uk/libraries,library@westberks.gov.uk,Not clear,
152,West Sussex,England,,Worthing Library,"Worthing Library, Richmond Road, Worthing, West Sussex, BN11 1HD",50.8141742,-0.372319494,https://www.westsussex.gov.uk/leisure-recreation-and-community/history-and-heritage/local-studies-in-libraries/,EnquiriesTeam@westsussex.gov.uk ; Online enquiry form: https://www.westsussex.gov.uk/libraries/ask-a-librarian/                                                                                                  ,Local Studies,
153,Wigan,England,,Archives: Wigan and Leigh,"Leigh Town Hall, Civic Square, Market Street, Leigh, WN7 1DY",53.4972114,-2.519280952,https://www.wigan.gov.uk/Resident/Museums-archives/Wigan-Archives/Collections/Family-history.aspx,Online enquiry form: https://www.wigan.gov.uk/Contacts/Heritage.aspx                                                                                          ,Both,
154,Wigan,England,,Wigan Archives and Local Studies,"Museum of Wigan Life, Library Street, Wigan, WN1 1NU",53.54415175,-2.629721387,https://www.wigan.gov.uk/Resident/Museums-archives/Wigan-Archives/Collections/Family-history.aspx,Online enquiry form: https://www.wigan.gov.uk/Contacts/Heritage.aspx                                                                            ,Both,Plus museum
155,Wiltshire,England,,Wiltshire and Swindon History Centre,"Wiltshire Local Studies, Wiltshire and Swindon History Centre, Cocklebury Road, Chippenham SN15 3QN",51.4639403,-2.108909312,http://www.wshc.eu/our-services/wiltshire-local-studies.html,heritageadmin@wiltshire.gov.uk,Both,
156,Windsor and Maidenhead,England,3293,Maidenhead Library,"Maidenhead Library, St. Ives Road, Maidenhead, Berkshire, SL6 1QU                                ",51.52214497,-0.717763445,https://www3.rbwm.gov.uk/info/200198/local_history_and_heritage/443/local_and_family_history_-_resources_available,maidenhead.library@rbwm.gov.uk,Local Studies,
157,Windsor and Maidenhead,England,3293,Windsor Library,"Windsor Library, Bachelors Acre, Windsor, Berkshire SL4 1ER                                                       ",51.48060708,-0.60935284,https://www3.rbwm.gov.uk/info/200198/local_history_and_heritage/443/local_and_family_history_-_resources_available,windsor.library@rbwm.gov.uk,Local Studies,
158,Westminster,England,,City of Westminster Archives Centre,"City of Westminster Archives Centre, 10 St Ann's Street, Westminster, London SW1P 2DE",51.4975772,-0.130133146,https://www.westminster.gov.uk/archives,archives@westminster.gov.uk,Both,
159,Wirral,England,,Birkenhead Central Library,"Birkenhead Central Library, Borough Road, Birkenhead, Wirral, CH41 2XB",53.38605872,-3.031661373,https://www.wirral.gov.uk/libraries-and-archives/local-and-family-history,birkenheadreflib@wirral.gov.uk        Online research request: https://my.wirral.gov.uk/service/Library_research_application_form,Local Studies,
160,Wokingham,England,,Wokingham Library,"Wokingham Library, Denmark Street, Wokingham, Berkshire, RG40 2BB",51.40823943,-0.835670189,https://www.wokingham.gov.uk/births-deaths-and-marriages/local-and-family-history/historical-information-and-maps/,libraries@wokingham.gov.uk,Local Studies,
161,Wolverhampton,England,,Wolverhampton Arts & Culture,"Wolverhampton City Archives, Molineux Hotel Building, Whitmore Hill, Wolverhampton, West Midlands, WV1 1SF 
",52.58856255,-2.130634955,http://www.wolverhamptonart.org.uk/visit/wolverhampton-archives/,archives@wolverhampton.gov.uk <archives@wolverhampton.gov.uk>;,Both,
162,Worcestershire,England,,The Hive (Worcestershire City Council and the University of Worcester),"The Hive, Sawmill Walk, The Butts, Worcester, WR1 3PD",52.19372935,-2.225993079,http://www.thehiveworcester.org/special-collections.html,TheHiveLibrary@worcestershire.gov.uk <TheHiveLibrary@worcestershire.gov.uk>;,Local Studies,
163,York,England,,York Explore Library and Archive,"York Explore Library and Archive, Library Square, York, YO1 7DS",53.9613,-1.086068,https://www.exploreyork.org.uk/archives/,york@exploreyork.org.uk,Both,
164,West Yorkshire,England,2494,John Goodchild Collection,"West Yorkshire History Centre, 127 Kirkgate, Wakefield, England, WF1 1JG",53.6796571,-1.491609033,https://www.wyjs.org.uk/archive-service/contact-us-and-opening-times/west-yorkshire-history-centre-wakefield-archive-service-opening-times-and-information/,wakefield@wyjs.org.uk,Both,
165,Northern Ireland,Northern Ireland,,"Irish and Local Studies Library, Armagh","39c Abbey Street, Armagh, BT61 7EB ",54.348826,-6.657407,https://www.librariesni.org.uk/Services/Heritage/Pages/Irish-and-Local-Studies-Library-Armagh.aspx,armaghirishandlocal@librariesni.org.uk,Local Studies,
166,Northern Ireland,Northern Ireland,,Ballymena Central Library,"5 Pat’s Brae, Ballymena, BT43 5AX ",54.8648025,-6.27802194,https://www.librariesni.org.uk/Services/Heritage/Pages/Ballymena-Central-Library.aspx,ballymena.heritage@librariesni.org.uk,Local Studies,
167,Northern Ireland,Northern Ireland,1665,Belfast Central Library,"Royal Avenue, Belfast, BT1 1EA",54.6028496,-5.931362183,https://www.librariesni.org.uk/Services/Heritage/Pages/Belfast-Central-Library.aspx,belfast.heritage@librariesni.org.uk,Local Studies,
168,Northern Ireland,Northern Ireland,,Derry Central Library,"35m Foyle Street, Derry,  County Londonderry, BT48  6AL ",54.996284,-7.318507,https://www.librariesni.org.uk/Services/Heritage/Pages/Derry-Central-Library.aspx,derrycentral.library@librariesni.org.uk,Local Studies,
169,Northern Ireland,Northern Ireland,,Downpatrick Library,"Market Street, Downpatrick, BT30 6LZ",54.32626495,-5.7189504,https://www.librariesni.org.uk/Services/Heritage/Pages/Downpatrick-Library.aspx,localstudies.down@librariesni.org.uk,Local Studies,
170,Northern Ireland,Northern Ireland,,Enniskillen Library,"Hall’s Lane, Enniskillen, BT74 7DR",54.347571,-7.64051,https://www.librariesni.org.uk/Services/Heritage/Pages/Enniskillen-Library.aspx,enniskillen.library@librariesni.org.uk,Local Studies,
171,Northern Ireland,Northern Ireland,,Newry City Library,"79 Hill Street, Newry, BT34 1DG ",54.17682775,-6.337084698,https://www.librariesni.org.uk/Services/Heritage/Pages/Newry-City-Library.aspx,newry.heritage@librariesni.org.uk,Local Studies,
172,Northern Ireland,Northern Ireland,,Omagh Library,"1 Spillars Place,  Omagh,  Co Tyrone,  BT78 1HL ",54.599185,-7.297827,https://www.librariesni.org.uk/Services/Heritage/Pages/Omagh-Library.aspx,omagh.library@librariesni.org.uk,Local Studies,
173,Northern Ireland,Northern Ireland,,Mellon Centre for Migration Studies ,"Ulster American Folk Park, 2 Mellon Road, Omagh, Northern Ireland, BT78 5QU",54.659547,-7.334884,https://www.librariesni.org.uk/Services/Heritage/Pages/Mellon-Centre-for-Migration-Studies.aspx,mcms@librariesni.org.uk,Local Studies,
174,Blaenau Gwent Libraries,Wales,,,,,,http://aneurinleisure.org.uk/heritage/libraries,,Local Studies,
175,"Bridgend Library Service, Awen Cultural Trust",Wales,,Y Llynfi Local and Family History Library,"Maesteg Library, North’s Lane, Maesteg, CF34 9AA",51.6090811,-3.65712729,https://awen-libraries.azurewebsites.net/family-tree-research/,maesteg.library@awen-wales.com,Local Studies,
176,Bridgend Library Service,Wales,,LOCAL & FAMILY HISTORY CENTRE,"Maesteg Sports Centre, Old Forge Site, Nant y Crynwydd, Maesteg, Bridgend, CF34 9EB",51.610657,-3.663853,,localandfamilyhistory@awen-wales.com,Local Studies,
177,Caerphilly,Wales,,Bargoed library,"Hanbury Chapel, 6a Hanbury Road, Bargoed, CF81 8QR",51.6899311,"-3.2286878,",https://www.caerphilly.gov.uk/Services/Libraries/Trace-your-family-tree,libbarg@caerphilly.gov.uk,,
178,Cardiff,Wales,,Cathays Branch and Heritage Library,"Fairoak Road, Cathays, CF24 4PW",51.4973522,-3.182141278,https://cardiffhubs.co.uk/hub/cathays-branch-and-heritage-library/,,Local Studies,
179,Non LA,England,603,Media Archive for Central England (MACE),"The Media Archive for Central England, The University of Lincoln, Alfred Tennyson Building, Brayford Pool, Lincoln, LN6 7TS",53.229208,-0.549952,https://www.macearchive.org/,mace@lincoln.ac.uk,Archive,Public film archive for the East and West Midlands. 
180,Non LA,England,,The National Archives Reference Library,"The National Archives
Kew, Richmond, Surrey,
TW9 4DU",51.48111545,-0.279190491,http://www.nationalarchives.gov.uk/about/visit-us/researching-here/using-the-national-archives-reference-library/,?,Local Studies,
181,Non LA,England,118,Society of Antiquaries of London Library,"Society of Antiquaries of London, Burlington House Piccadilly, London, W1J 0BE",51.508853,-0.139324,https://www.sal.org.uk/library/,library@sal.org.uk,Both,"Collects on all regions of Britain. Focus on antiquities, topography, architecture."
182,Non LA,England,338,University of Leicester Library,"University of Leicester, University Library, University Road, Leicester, LE1 7RH",52.62169525,-1.124694574,https://www2.le.ac.uk/library,library@le.ac.uk,Both,Collects on all historic counties of England.
183,Non LA,England,3508,Institute of Historical Research Library,"Senate House, Malet Street, London, WC1E 7HU",51.52131956,-0.128799842,https://www.history.ac.uk/library,ihr.library@sas.ac.uk,Local Studies,Mainly collect published primary sources. Covers Britain and Ireland. 
184,Non LA,England,134,The John Rylands Library,"The John Rylands Library, 150 Deansgate, Manchester, M3 3EH",53.4803847,-2.249154971,https://www.library.manchester.ac.uk/rylands/,uml.special-collections@manchester.ac.uk,Both,"Many collections relating to Manchester and region, particularly on business and religion."
185,Non LA,England, 3228,Ahmed Iqbal Ullah Race Relations Resource Centre,"Lower Ground Floor, Central Library, St Peter’s Square, Manchester, M2 5PD",53.4781312,-2.244709591,http://www.racearchive.manchester.ac.uk/,rrarchive@manchester.ac.uk,Both,Focus on BAME history in Manchester. Includes 300 oral history interviews. 
186,Non LA,England,372,Bishopsgate Institute Library,"Bishopsgate Institute, 230 Bishopsgate, London, EC2M 4QH",51.5186773,-0.0793179,https://www.bishopsgate.org.uk/Library, library@bishopsgate.org.uk ,Both,"Focus on London, radicalism and the counter-culture. Oral history and street photography."
187,Non LA,England,1585,Historic England Library and Archive,"Library,The Engine House,Fire Fly Avenue,Swindon,SN2 2EH",51.5637039,-1.793513845,https://historicengland.org.uk/images-books/archive/library/,library@HistoricEngland.org.uk,Both,"60,000 print items covering the historic environment. Photographic archive: over a million photos of England's archaeology, historic buildings and social history. "
188,Non LA,England,159,University of Nottingham Manuscripts and Special Collections - the East Midlands Collection,"University of Nottingham , Manuscripts and Special Collections, Kings Meadow Campus,Lenton Lane,Nottingham, NG7 2NR",52.937903,-1.171234,https://www.nottingham.ac.uk/manuscriptsandspecialcollections/collectionsindepth/eastmidlandscollection/eastmidlandscollection.aspx, mss-library@nottingham.ac.uk,Both,
189,Non LA,England,738,University of Southampton - Cope Collection ,"Special Collections, Hartley Library, University of Southampton, Highfield, Southampton, SO17 1BJ",50.935138,-1.395985,http://library.soton.ac.uk/cope/home,archives@soton.ac.uk,Both,Focus on Southampton and Hampshire. 
190,Non LA,England,2943,University of York - Yorkshire collection,"University Library, University of York, Heslington, York, YO10 5DD",53.9491671,-1.052063864,https://www.york.ac.uk/library/collections/strengths/yorkshire/,lib-enquiry@york.ac.uk,Local Studies,
191,Non LA,England,206,"University of Leeds Library, Special Collections","Brotherton Library, University of Leeds, Woodhouse Ln, Leeds, LS2 9JT",53.80788745,-1.553331718,https://library.leeds.ac.uk/special-collections/subject-theme/653/yorkshire,specialcollections@library.leeds.ac.uk,Both,Includes Yorkshire Archaeological & Historical Society collections.
192,Non LA,England,172,Keele University Library - Local Collection,"Library, Keele University, Keele, Staffordshire, ST5 5BG",53.00134685,-2.272272803,https://www.keele.ac.uk/library/specarc/collections/localcollection/, library.help@keele.ac.uk,Local Studies,"5,000 books, plus pamphlets, newspapers, periodicals and directories, devoted mainly to Staffordshire, but also covering Cheshire, Derbyshire and Shropshire."
193,Non LA,England,74,London Metropolitan University Library Special Collections,"The Wash Houses, 25 Old Castle Street,London,E1 7NT",51.51622208,-0.074086932,https://student.londonmet.ac.uk/library/using-the-library/special-collections/trades-union-congress-library-collections,tuclib@londonmet.ac.uk,Both,"Trade Union and communtiy history with focus on London. TUC Library is housed here, London Trades Council minutes 1860 - 1970; London Bookbinders and Paperworkers.  London Met Collections include: Archive of the Irish in Britain; Community Media Collection (community radio and TV in UK); East End Archive (artists); E & A Wates Archive (East London business.)"
194,Non LA,England,468,"The Queen's College, Oxford","The Queen's College, High Street, Oxford, OX1 4AW",51.75353785,-1.250327107,queens.ox.ac.uk,library@queens.ox.ac.uk,Both,"The Bridgewater Collection: over 200 rare bibliographic items related to Cumberland and Westmorland, c. 1700-current.  The College has a historic collection with the area.  A large and important collection of heraldic visitation MSS related to various parts of England, collected and copied in the C16th and 17th."
195,Non LA,England,1178,Manchester Metropolitan University Library,"All Saints Library,Manchester,M15 6BH",53.470795,-2.23869,https://www.mmu.ac.uk/library,library@mmu.ac.uk,Both,"Greater Manchester-related books, journals, pamphlets, ephemera, parish register transcripts and more, plus a 'Manchester Bibliography' card index of mainly articles, related to Manchester history from c.1975-1995. Also home to the North West Film Archive."
196,Non LA,England,,HADAS - Hendon and District Archaeological Society,Barnet,,,hadas.org.uk,chairman@hadas.org.uk,Local Studies,A small number of local (Barnet) books and excavation reports.
197,Non LA,England,2191,Museum of the Order of St John,"The Museum of the Order of St John, St John’s Gate, St John’s Lane,Clerkenwell, London, EC1M 4DA",51.522006,-0.1025564,https://museumstjohn.org.uk/,museum@sja.org.uk,Both,"The Museum of the Order of St John holds museum, library and archive collections relating to the Order of St John and St John's Ambulance. Material on Clerkenwell Priory is relevant to the history of London. "
198,Non LA,England,96,Senate House Library,"Senate House Library,University of London,Malet Street,London,WC1E 7HU",51.52080338,-0.128237466,https://london.ac.uk/senate-house-library,argula.rublack@london.ac.uk,Local Studies,"Senate House Library has strong print and electronic collections of resources about British history, covering all regions of the UK.  Our research collections include academic monographs and journals but also more unusual materials such as pamphlets or the output of small press publishers. We also hold a series of local history journals covering most regions of the UK. "
